"case_1","case_2","accused_in_common"
"Caso ERE/Heineken España","Caso ERE/Pieza Política",2
"Caso ERE/Heineken España","Caso ERE/Santana Motor",2
"Caso ERE/Heineken España","Caso ERE/Sierra Norte de Sevilla",2
"Caso ERE/Heineken España","Caso ERE/SK 3000",1
"Caso ERE/Heineken España","Caso ERE/Sobrecomisiones",3
"Caso ERE/Heineken España","Caso ERE/Surcolor",3
"Caso ERE/Heineken España","Caso ERE/Yogures Andaluces",2
"Caso ERE/Instaladora Moderna","Caso ERE/Matadero Fuenteobejuna",3
"Caso ERE/Instaladora Moderna","Caso ERE/Pieza Política",5
"Caso ERE/Instaladora Moderna","Caso ERE/Santana Motor",4
"Caso ERE/Instaladora Moderna","Caso ERE/Sierra Norte de Sevilla",2
"Caso ERE/Instaladora Moderna","Caso ERE/SK 3000",3
"Caso ERE/Instaladora Moderna","Caso ERE/Yogures Andaluces",2
"Caso ERE/Matadero Fuenteobejuna","Caso ERE/Pieza Política",2
"Caso ERE/Matadero Fuenteobejuna","Caso ERE/Santana Motor",2
"Caso ERE/Matadero Fuenteobejuna","Caso ERE/Sierra Norte de Sevilla",3
"Caso ERE/Matadero Fuenteobejuna","Caso ERE/SK 3000",1
"Caso ERE/Matadero Fuenteobejuna","Caso ERE/Sobrecomisiones",5
"Caso ERE/Matadero Fuenteobejuna","Caso ERE/Surcolor",4
"Caso ERE/Matadero Fuenteobejuna","Caso ERE/Yogures Andaluces",3
"Caso ERE/Pieza Política","Caso ERE/Santana Motor",4
"Caso ERE/Pieza Política","Caso ERE/Sierra Norte de Sevilla",3
"Caso ERE/Pieza Política","Caso ERE/Sobrecomisiones",2
"Caso ERE/Pieza Política","Caso ERE/Yogures Andaluces",3
"Caso ERE/Santana Motor","Caso ERE/Sierra Norte de Sevilla",3
"Caso ERE/Santana Motor","Caso ERE/SK 3000",2
"Caso ERE/Santana Motor","Caso ERE/Sobrecomisiones",3
"Caso ERE/Santana Motor","Caso ERE/Surcolor",4
"Caso ERE/Santana Motor","Caso ERE/Yogures Andaluces",3
"Caso ERE/Sierra Norte de Sevilla","Caso ERE/SK 3000",1
"Caso ERE/Sierra Norte de Sevilla","Caso ERE/Sobrecomisiones",3
"Caso ERE/Sierra Norte de Sevilla","Caso ERE/Surcolor",2
"Caso ERE/Sierra Norte de Sevilla","Caso ERE/Yogures Andaluces",4
"Caso ERE/SK 3000","Caso ERE/Sobrecomisiones",1
"Caso ERE/SK 3000","Caso ERE/Yogures Andaluces",1
"Caso ERE/Sobrecomisiones","Caso ERE/Yogures Andaluces",3
"Caso ERE/Surcolor","Caso ERE/Yogures Andaluces",2
"Caso Bajo Guadalquivir","Caso Idelpa",1
"Caso Invercaria/FIVA","Caso Invercaria/J. Martín",2
"Caso Invercaria/FIVA","Caso Invercaria/Keepfresh",2
"Caso Invercaria/J. Martín","Caso Invercaria/Keepfresh",2
"Caso Pokemon/Vendex","Caso Xinzo de Limia",1
"Caso Cursos Formación/Ángel Ojeda","Caso ERE/Intersur",1
"Caso Cursos Formación/Ángel Ojeda","Caso ERE/Mac Puar",1
"Caso ERE/Heineken España","Caso ERE/Intersur",1
"Caso ERE/Heineken España","Caso ERE/Mac Puar",1
"Caso ERE/Instaladora Moderna","Caso ERE/Intersur",1
"Caso ERE/Instaladora Moderna","Caso ERE/Mac Puar",1
"Caso ERE/Intersur","Caso ERE/Mac Puar",1
"Caso ERE/Intersur","Caso ERE/Sobrecomisiones",1
"Caso ERE/Intersur","Caso ERE/Surcolor",1
"Caso ERE/Mac Puar","Caso ERE/Sobrecomisiones",1
"Caso ERE/Mac Puar","Caso ERE/Surcolor",1
"Caso Cursos Formación/CIOMIJAS","Caso Sobresueldos",1
"Caso Bankia Salida a Bolsa","Caso Púnica/Financiación PP",2
"Caso Bankia Salida a Bolsa","Caso Tarjetas Black Bankia",11
"Caso Púnica/Financiación PP","Caso Tarjetas Black Bankia",2
"Caso Aplauso","Caso Tele7",2
"Caso Citur","Caso de las Ratas",1
"Caso Citur","Caso Nerer",3
"Caso de las Ratas","Caso Nerer",2
"Caso Can Domenge","Caso Son Oms",2
"Caso Lezo/Financiación PP","Caso Púnica/Financiación PP",2
"Caso Lezo/Financiación PP","Caso Tarjetas Black Bankia",1
"Caso Invercaria/EDM","Caso Invercaria/FIVA",2
"Caso Invercaria/EDM","Caso Invercaria/Servivation",2
"Caso Invercaria/FIVA","Caso Invercaria/Servivation",3
"Caso Fitonovo","Caso Selosa Bioenergía",1
"Caso ERE/Aglomerados Morell","Caso ERE/Matadero Fuenteobejuna",3
"Caso ERE/Aglomerados Morell","Caso ERE/Sobrecomisiones",5
"Caso ERE/Aglomerados Morell","Caso ERE/Surcolor",4
"Caso Campeón","Caso Pokemon/Miño-Sil",1
"Caso Lezo/Inassa y Emissao","Caso Metrored",1
"Caso Lezo/Inassa y Emissao","Caso Taula",1
"Caso Metrored","Caso Taula",1
"Caso La Loma","Caso Santa Catalina",6
"Caso Pokemon/Grúa de Lugo","Caso Pokemon/Vendex",5
"Caso 3 per cent","Caso Palau",2
"Caso Emucesa","Caso TG7",1
"Caso Contenedores","Caso Láminas Goya",1
"Caso Gürtel/Caja B PP Valencia","Caso Gürtel/Contratos Valencia",5
"Caso Gürtel/Caja B PP Valencia","Caso Gürtel/Fitur",4
"Caso Gürtel/Contratos Valencia","Caso Gürtel/Fitur",6
"Caso Proconor","Caso Santa Catalina",7
"Caso ERE/Acyco","Caso ERE/Cetro Aceitunas",1
"Caso ERE/Acyco","Caso ERE/González Byass",2
"Caso ERE/Acyco","Caso ERE/Nexprom",2
"Caso ERE/Acyco","Caso ERE/Ubago Group Mare",2
"Caso ERE/Acyco","Caso Umax",3
"Caso ERE/Cetro Aceitunas","Caso ERE/Egmasa",1
"Caso ERE/Cetro Aceitunas","Caso ERE/Franja Pirítica",1
